date;revenue;cogs;gross_profit;sell_gen_adm_exp;r&d;other_income;financial_income;profit_before_tax;tax;net_profit;minority_interest;net_profit_minority_int;cash;acc_rec;short_invest;inventory;prep_expanses;other_curr_assets;curr_assets;ppe;long_term_invest;goodwill;intangible_assets;other_long_assets;non_current_assets;total_assets;acc_pay;short_term_debt;acc_expenses;current_debt;other_curr_liab;curr_liab;long_term_debt;other_liab;total_liab;charter_capital;addditional_cap;retained_earnings;treasury_stocks;other_eq_adjust;common_equity;minority_interest;total_equity;depr;amort;deff_tax;non_cash_item;cash_tax_paid;cash_interest_paid;cash_payment;cash_receipt;change_in_wc;cash_from_operating_activities;capex;other_investing_cf_items;cash_from_investing;financing_cf_item;total_cash_dividend_paied;issuance_of_stocks;issuance_of_debt;cash_from_financing;foreign_exchange_effect;net_change_in_cash;shares
2011-09-30;3,855;-2,66;1,195;-206;-;-195;-37;757;-108;649;0;649;1,22;1,424;-;1,938;499;19;5,101;-;1,708;-;844;4,615;7,167;12,268;-;-;1,538;184;515;2,237;1,883;1,087;5,206;83;20;6,958;-;-;7,062;27;7,088;115;-;-;-4;60;-;-;-;-353;556;-118;435;317;0;-17;-68;-66;-151;1;723;287
2011-12-31;3,6;-2,516;1,084;-211;-;-247;34;660;-71;588;0;588;982;1,452;-;2,122;491;2;5,049;-;1,856;-;864;4,596;7,316;12,365;-;-;1,426;189;425;2,04;1,72;1,139;4,899;81;20;7,365;-;-;7,466;26;7,492;137;-;-;31;128;-;-;-;-708;92;-163;81;-82;-16;3;-52;-179;-245;-1;-236;287
2012-03-31;3,682;-2,732;950;-203;-;-219;115;643;-126;517;2;520;1,548;1,768;-;1,876;547;78;5,817;-;1,633;-;1,271;5,355;8,259;14,076;-;-;1,755;183;382;2,32;1,976;1,72;6,016;85;21;7,954;-;0;8,06;349;8,409;131;-;-;-23;176;-;-;-;60;702;-92;1;-90;-;-;-;-94;-94;-9;508;282
2012-06-30;3,638;-2,598;1,039;-223;-;-259;58;616;-131;484;-11;473;1,384;1,516;-;2,006;553;74;5,533;-;1,79;-;1,273;5,162;8,225;13,758;-;-;1,726;362;483;2,57;1,689;1,673;5,932;81;20;7,726;-;0;7,826;346;8,172;165;-;-;4;133;-;-;-;-121;613;-204;-2;-206;2;-325;-79;-98;-500;-8;-102;282
2012-09-30;3,526;-2,655;872;-211;-;-231;123;553;-102;450;-9;441;1,544;1,562;-;2,169;487;2;5,764;-;1,866;-;1,267;5,401;8,534;14,298;-;-;1,833;369;506;2,708;1,677;1,64;6,024;83;20;8,17;-;0;8,274;352;8,626;141;-;-;-6;93;-;-;-;-121;454;-157;-31;-189;0;-16;-138;-5;-159;-7;100;282
2012-12-31;3,692;-2,812;880;-234;-;-270;77;453;-83;369;10;379;1,8;1,454;-;2,158;474;2;5,887;-;1,63;-;1,35;5,652;8,632;14,519;-;-;1,768;274;512;2,554;1,669;1,74;5,964;86;21;8,449;-;-;8,555;314;8,869;151;-;-;7;63;-;-;-;-33;507;-237;42;-195;1;-3;-2;-112;-116;-2;194;282
2013-03-31;3,675;-2,714;961;-225;-;-235;26;526;-107;419;-18;401;2,102;1,687;-;2,198;449;1;6,436;-;1,485;-;1,324;5,454;8,263;14,699;-;-;2,053;215;488;2,757;1,528;1,658;5,943;82;20;8,654;-;0;8,756;316;9,072;149;-;-;-5;155;-;-;-;68;713;-178;38;-140;-15;-;-;-165;-180;10;403;278
2013-06-30;3,982;-3,053;928;-229;-;-260;-6;433;-94;340;-19;320;1,633;1,584;-;1,849;515;0;5,582;-;1,628;-;1,295;5,406;8,33;13,911;-;-;1,742;234;474;2,449;1,489;1,643;5,582;78;19;8,232;-;0;8,33;332;8,662;148;-;-;0;284;-;-;-;-206;396;-203;2;-201;0;-596;-20;4;-613;-4;-422;278
2013-09-30;3,442;-2,615;828;-225;-;-273;19;348;-70;278;-15;263;1,146;1,425;-;2,452;473;0;5,497;-;1,573;-;1,414;5,983;8,97;14,466;-;-;1,861;213;413;2,487;1,496;1,686;5,669;78;19;8,7;-;0;8,798;349;9,146;155;-;-;2;101;-;-;-;175;665;-247;-744;-991;0;-30;-126;-23;-179;-12;-518;278
2013-12-31;3,397;-2,65;747;-248;-;-447;-30;23;-5;18;-7;11;1,125;1,539;-;2,164;557;1;5,387;-;1,543;-;1,388;6,288;9,219;14,606;-;-;1,972;713;491;3,176;962;1,629;5,766;78;19;8,742;-;-;8,839;355;9,194;185;-;-;4;120;-;-;-;44;319;-368;81;-287;-2;7;-9;-34;-39;1;-6;278
2014-03-31;3,573;-2,662;911;-249;-;-288;21;395;-86;309;-18;291;1,131;1,824;-;2,186;574;1;5,715;-;1,483;-;1,408;6,309;9,2;14,916;-;-;2,186;598;420;3,204;966;1,638;5,808;79;20;9,009;-;0;9,108;372;9,48;168;-;-;3;134;-;-;-;-149;393;-243;-48;-291;-;-;-;-110;-110;-1;-9;275
2014-06-30;3,887;-2,862;1,025;-267;-;-294;52;517;-120;397;-16;382;1,008;1,59;-;2,372;614;1;5,585;-;1,579;-;1,426;6,449;9,453;15,039;-;-;2,33;597;475;3,401;958;1,716;6,075;77;19;8,868;-;-;8,964;395;9,359;173;-;-;0;162;-;-;-;-51;596;-266;2;-264;-1;-432;-;-7;-439;9;-98;275
2014-09-30;3,847;-2,915;932;-251;-;-290;-71;321;-56;265;8;273;783;1,479;-;2,375;619;1;5,257;-;1,513;-;1,366;6,261;9,14;14,397;-;-;1,91;613;441;2,964;943;1,678;5,585;73;18;8,722;-;0;8,813;376;9,189;179;-;-;1;68;-;-;-;-431;149;-300;2;-298;-2;-22;-41;27;-38;-1;-188;275
2014-12-31;3,77;-2,758;1,012;-281;-;-351;-14;367;-73;294;-24;270;481;1,619;-;2,495;562;6;5,162;-;1,463;-;1,607;6,707;9,778;14,94;-;-;1,958;643;301;2,902;1,42;2,084;6,406;63;16;8,456;-;0;8,534;562;9,096;222;-;-;6;13;-;-;-;-388;227;-386;-299;-685;29;14;-29;195;209;31;-218;275
2015-03-31;3,57;-2,55;1,02;-244;-;-402;-208;167;-58;109;-15;94;494;1,691;-;2,335;468;13;5,002;-;1,332;-;1,482;6,246;9,06;14,062;-;-;1,977;376;281;2,633;1,235;2,004;5,872;58;15;6,851;-;1,267;8,19;522;8,713;170;-;-;14;81;-;-;-;-1;698;-260;3;-257;-7;-;-;-399;-405;15;50;274
2015-06-30;3,578;-2,602;976;-261;-;-260;56;510;-122;388;-12;376;377;1,624;-;2,488;431;249;5,171;-;1,174;-;1,489;6,422;9,085;14,255;-;-;1,967;492;329;2,788;1,221;1,891;5,9;60;15;7,059;-;1,222;8,355;532;8,887;172;-;-;9;112;-;-;-;-160;481;-244;16;-228;-31;-438;-;97;-372;-12;-132;274
2015-09-30;3,301;-2,454;847;-240;-;73;-142;538;-39;499;-11;488;1,005;1,405;-;2,28;588;11;5,289;-;1,139;-;1,344;6,268;8,751;14,04;-;-;1,87;474;279;2,623;1,084;1,832;5,539;55;14;6,973;-;1,46;8,501;508;9,009;204;-;-;2;141;-;-;-;-395;535;-305;573;268;1;-15;-16;-68;-98;4;709;274
2015-12-31;2,99;-2,225;764;-254;-;-444;49;115;-59;56;-5;51;364;1,369;-;2,257;496;173;4,659;-;1,105;-;1,084;6,598;8,788;13,446;-;-;1,66;649;227;2,536;1,058;1,493;5,088;53;13;6,669;-;1,624;8,359;208;8,567;313;-;-;8;85;-;-;-;-271;101;-497;-140;-637;-307;9;-45;188;-154;16;-674;274
2016-03-31;2,888;-2,01;878;-246;-;-244;36;425;-102;323;2;325;486;1,632;-;2,253;465;179;5,015;-;1,08;-;1,12;7,007;9,207;14,222;-;-;1,962;412;225;2,6;1,099;1,627;5,325;56;14;7,372;-;1,454;8,897;229;9,126;169;-;-;-1;69;-;-;-;83;645;-294;9;-285;7;-;-11;-263;-267;-2;92;273
2016-06-30;2,946;-2,133;813;-251;-;-135;14;441;-71;370;2;372;914;1,417;-;2,239;483;15;5,067;-;1,124;-;1,127;7,255;9,506;14,573;-;-;1,993;471;168;2,632;1,603;1,659;5,894;55;14;7,091;-;1,519;8,679;249;8,929;207;-;-;-185;185;-;-;-;81;527;-425;294;-132;6;-462;-30;508;22;15;432;273
2016-09-30;2,866;-2,164;701;-248;-;-303;-12;137;-39;98;0;99;637;1,282;-;2,093;532;22;4,566;-;1,119;-;1,11;7,554;9,782;14,348;-;-;1,693;293;216;2,202;1,645;1,692;5,539;58;15;7,51;-;1,227;8,81;275;9,084;188;-;-;5;39;-;-;-;-119;237;-379;3;-376;25;-27;0;-151;-153;-9;-302;273
2016-12-31;2,644;-1,986;658;-269;-;-342;-57;-10;-30;-40;0;-40;434;1,196;-;2,035;557;11;4,234;-;1,064;-;1,063;7,591;9,718;13,952;-;-;1,709;297;198;2,204;1,62;1,509;5,333;54;14;7,053;-;1,499;8,619;269;8,889;201;-;-;14;33;-;-;-;-10;268;-469;-1;-470;1;0;0;42;42;2;-158;273
2017-03-31;2,696;-1,984;712;-260;-;-262;69;259;-62;197;4;201;323;1,413;-;2,127;595;12;4,47;-;1,075;-;1,077;7,83;9,982;14,452;-;-;1,464;337;514;2,315;1,668;1,585;5,568;66;-49;10,35;-;-1,483;8,884;275;9,159;170;-;-;-;102;-;-;-;-236;115;-307;4;-303;1;-;-;71;72;4;-112;273
2017-06-30;2,744;-2,07;674;-257;-;-297;-5;115;-35;80;2;82;274;1,264;-;2,263;604;10;4,415;-;1,051;-;1,091;8,156;10,298;14,713;-;-;1,465;531;593;2,589;1,752;1,577;5,918;66;-49;10,113;-;-1,335;8,795;269;9,064;178;-;-;19;33;26;-;-;-14;312;-325;3;-322;4;-321;-;276;-41;2;-49;273
2017-09-30;3,007;-2,32;687;-297;-;-305;25;110;-21;89;-;89;255;1,389;-;2,187;590;10;4,431;-;1,082;-;1,124;8,564;10,77;15,201;-;-;1,563;562;578;2,703;1,766;1,607;6,076;66;-49;10,195;-;-1,087;9,125;276;9,401;192;-;-;19;14;1;-;-;26;325;-374;5;-369;-;-;-;15;15;9;-20;273
2017-12-31;2,911;-2,173;738;-289;-;-401;48;96;-19;115;-11;104;544;1,398;-;2,229;607;5;4,783;-;1,096;-;1,106;8,798;11;15,783;-;-;1,652;482;491;2,625;2,429;1,504;6,558;66;-49;10,37;-;-1,162;9,225;280;9,505;184;-;-;46;47;-;-;-;-249;40;-390;34;-356;1;-;-;604;605;1;290;273
2018-03-31;2,838;-2,107;731;-300;-;-303;19;147;-33;114;2;116;521;1,664;-;2,471;568;4;5,228;-;1,042;-;1,165;9,237;11,444;16,672;-;-;1,689;689;629;3,007;2,714;1,499;7,22;66;-49;10,481;-;-1,046;9,452;277;9,729;201;-;-;-7;22;-;-;-;-93;235;-328;-408;-736;-;-;-;456;456;22;-23;273
2018-06-30;3,185;-2,489;696;-312;-;-356;-289;-261;-45;-216;5;-211;998;1,638;-;2,376;638;3;5,653;-;1,03;-;1,134;9,205;11,369;17,022;-;-;1,815;1,032;818;3,665;3,119;1,501;8,285;66;-49;10,05;-;-1,33;8,737;243;8,98;200;-;-;25;48;60;-;-;260;522;-358;-231;-589;-2;-219;-;779;558;-14;477;273
2018-09-30;3,504;-2,751;753;-292;-;-319;-60;82;-8;90;8;98;605;1,585;-;2,444;626;202;5,462;-;1,032;-;1,075;9,206;11,313;16,775;-;-;1,866;865;705;3,436;3,092;1,422;7,95;66;-49;10,147;-;-1,339;8,825;231;9,056;192;-;-;43;1;15;-;-;-300;88;-307;4;-303;2;-;-;-174;-172;-6;-393;273
2018-12-31;3,401;-2,605;796;-316;-;-407;93;166;-14;152;5;157;202;1,601;-;2,568;741;207;5,319;-;1,027;-;1,052;9,258;11,337;16,656;-;-;1,835;1,221;574;3,63;2,776;1,567;7,973;66;-49;10,189;-;-1,523;8,683;227;8,91;214;-;-;87;39;83;-;-;-467;-88;-401;29;-372;-1;-;-21;77;55;3;-402;273
2019-03-31;2,991;-2,181;810;-292;-;-327;-79;112;-21;91;5;96;301;1,868;-;2,588;692;228;5,677;-;987;-;1,044;9,628;11,659;17,336;-;534;1,858;906;609;3,907;2,747;1,875;8,529;66;-49;8,79;-;-;8,807;221;9,028;225;-;-;6;4;9;-;-;-175;254;-259;16;-243;-;-;-;90;90;-2;99;272
2019-06-30;3,386;-2,488;898;-294;-;-350;40;294;-68;226;4;230;320;1,905;-;2,646;689;242;5,802;-;1,009;-;1,052;9,793;11,854;17,656;-;515;2,009;755;852;4,131;2,75;1,896;8,777;66;-49;8,862;-;-;8,879;220;9,099;227;-;-;11;83;55;-;-;176;680;-251;5;-246;-1;-203;-;-210;-414;-1;19;272
2019-09-30;3,477;-2,56;917;-277;-;-342;-194;104;-30;74;-;74;208;1,735;-;2,394;683;2;5,022;-;1,022;-;1,017;9,536;11,575;16,597;-;419;1,644;734;714;3,511;2,698;1,898;8,107;66;-49;8,474;-;-1;8,49;78;8,568;231;-;-;10;9;45;-;-;-270;285;-272;17;-255;1;-;-;-139;-138;-4;-112;272
2019-12-31;3,005;-2,105;900;-325;-;-364;87;298;-95;203;1;204;300;1,564;-;2,36;553;8;4,785;-;970;-;1,031;9,939;11,94;16,725;-;494;1,614;496;713;3,317;2,698;1,88;7,895;66;-49;8,813;-;-;8,83;79;8,909;239;-;-;-5;39;60;-;-;243;688;-314;14;-300;-;-;-65;-231;-296;-;92;272
2020-03-31;2,832;-1,984;848;-276;-;-351;-306;-85;-34;-119;2;-117;349;1,759;-;2,064;657;889;5,718;-;87;-;949;9,141;10,177;15,895;-;655;1,642;500;638;3,435;2,612;1,895;7,942;65;-49;7,937;-;-;7,953;77;8,03;230;-;-;13;76;22;-;-;-299;192;-206;7;-199;-;-;-52;125;73;-17;49;268
2020-06-30;2,862;-1,949;913;-267;-;-326;-69;251;-28;223;-1;222;584;1,652;-;2,106;609;889;5,84;-;98;-;950;9,249;10,297;16,137;-;292;1,685;154;758;2,889;3,4;1,916;8,205;65;-49;7,916;-;-;7,932;77;8,009;215;-;-;18;69;49;-;-;167;735;-138;-1;-139;-1;-401;-;39;-363;2;235;268
2020-09-30;2,985;-2,077;908;-280;-;-250;7;385;-45;340;-;340;1,791;1,389;-;2,009;631;6;5,826;-;104;-;957;9,291;10,352;16,178;-;173;1,605;154;689;2,621;3,407;1,947;7,975;65;-49;8,187;-;-;8,203;78;8,281;236;-;-;-93;88;6;-;-;133;659;-137;991;854;-1;-;-108;-193;-302;-4;1,207;268
2020-12-31;2,912;-2,01;902;-330;-;-362;88;298;-52;246;-1;245;1,363;1,478;-;2,161;630;5;5,637;-;108;-;988;9,872;10,968;16,605;-;345;1,88;243;697;3,165;3,371;1,928;8,464;64;-49;8,125;-;1;8,141;79;8,22;238;-;-;31;31;55;-;-;-19;460;-275;7;-268;1;-525;-149;37;-636;17;-427;268
2021-03-31;3,131;-2,172;959;-309;-;-333;-271;46;-32;14;-1;13;1,361;1,598;-;2,079;601;5;5,644;-;105;820;147;9,417;10,489;16,133;-;285;1,827;242;826;3,18;3,349;1,712;8,241;63;-49;7,878;-;-;7,892;80;7,972;242;-;-;278;43;16;-;-;-8;558;-196;3;-193;-;-;-169;-196;-365;-2;-2;256
2021-06-30;3,904;-2,753;1,151;-317;-;-369;241;706;-167;539;-1;538;1,583;1,742;-;2,707;548;6;6,586;-;111;836;140;9,658;10,745;17,331;-;255;2,316;237;1,484;4,292;3,337;1,77;9,399;63;-49;7,918;-;-;7,932;80;8,012;250;-;-;-178;47;50;-;-;278;1,056;-147;-9;-156;-2;-625;1;-72;-698;21;223;256
2021-09-30;4,495;-3,351;1,144;-298;-;-712;-184;-50;-92;-142;-;-142;488;1,772;-;3,263;594;429;6,546;-;112;793;137;8,634;9,676;16,222;-;90;2,77;392;1,059;4,311;3,146;1,7;9,157;63;-49;7,05;-;1;7,065;80;7,145;244;-;-;539;110;17;-;-;-825;-92;-204;-22;-226;2;-554;-195;-17;-764;-13;-1,095;256
2021-12-31;5,087;-3,859;1,228;-352;-;-661;-178;37;-64;-27;67;40;394;2,138;-;4,003;708;455;7,698;-;120;789;132;8,533;9,574;17,272;-;337;3,188;580;1,439;5,544;3,089;1,536;10,169;63;-49;8,874;-;-1,785;7,103;13;7,116;248;-;-;410;150;83;-;-;-811;-116;-311;12;-299;-1;-35;-;359;323;-2;-94;256
2022-03-31;5,926;-4,182;1,744;-326;-;-358;171;1,231;-284;947;-2;945;695;2,937;-;4,616;836;20;9,104;-;136;797;129;8,519;9,581;18,685;-;129;3,306;588;2,006;6,029;3,067;1,482;10,578;63;-49;8,093;-;-;8,107;14;8,121;247;-;-;-177;134;43;-;-;-986;315;-203;445;242;-;-;-;-263;-263;7;301;254
2022-06-30;6,39;-4,503;1,887;-327;-;-404;-235;921;-254;667;-3;664;579;2,478;-;4,815;957;26;8,855;-;142;771;117;8,159;9,189;18,044;-;132;3,353;562;1,855;5,902;3,038;1,414;10,354;63;-49;7,676;-;-;7,69;15;7,705;238;-;-;347;148;63;-;-;-546;960;-240;-;-240;1;-796;-;-24;-819;-19;-118;254
2022-09-30;6,148;-4,776;1,372;-291;-;-356;-192;533;-131;402;-2;400;512;2,774;-;4,615;1,031;8;8,94;-;141;741;104;7,78;8,766;17,706;-;396;3,241;391;1,529;5,557;2,98;1,399;9,936;63;-49;7,756;-;-;7,77;17;7,787;234;-;-;264;107;23;-;-;-928;103;-233;-5;-238;-2;-;-;88;86;-18;-67;254
2022-12-31;5,437;-3,893;1,544;-354;-;-431;195;954;-188;766;3;769;1,01;2,305;-;4,365;931;9;8,62;-;147;754;112;8,349;9,362;17,982;-;157;2,549;172;1,46;4,338;3,597;1,46;9,395;63;-49;10,744;-;-2,171;8,587;13;8,6;245;-;-;-38;238;107;-;-;-148;1,013;-282;9;-273;-2;-258;-;30;-230;-12;498;254
2023-03-31;4,136;-3,282;854;-318;-;-351;-24;161;-56;105;-1;104;1,188;2,096;-;4,039;891;8;8,222;-;148;760;132;8,39;9,43;17,652;-;173;2,181;175;1,334;3,863;3,576;1,476;8,915;63;-49;8,722;-;1;8,737;13;8,75;251;-;-;35;191;27;-;-;56;503;-269;1;-268;-1;-17;-;-33;-51;-6;178;254
2023-06-30;3,94;-3,286;654;-341;-;-566;-38;-291;-7;-298;-1;-299;626;1,944;-;3,338;913;16;6,837;-;153;757;132;8,332;9,374;16,211;-;477;2,145;159;1,182;3,963;3,55;1,519;9,032;63;-49;7,165;-;-;7,179;12;7,191;257;-;-;236;181;105;-;-;475;677;-270;-;-270;-1;-1,23;-;269;-962;-6;-561;254
2023-09-30;3,85;-3,054;796;-338;-;-355;-91;12;-10;2;-2;-;868;1,71;-;2,794;934;13;6,319;-;151;750;129;8,316;9,346;15,665;-;141;2,075;160;1,139;3,515;3,518;1,49;8,523;63;-49;7,128;-;-;7,142;14;7,156;251;-;-;88;74;33;-;-;665;1,015;-299;8;-291;-;-72;-;-396;-468;-12;241;254
2023-12-31;3,582;-2,473;1,109;-;-;-;-;-;-;246;-;-;539;1,634;-;3,058;-;-;6,213;-;-;760;135;-;-;16,027;-;517;2,049;123;-;3,714;3,284;-;8,457;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;93;-373;-;-;-;-;-;-;-;-;-;254
